id,state,prestate,score,newscores
PSF0133,1,1,0.098715696,0.919506657424
CCL0068,1,1,0.150885716,0.796541372921
RNP0211,0,1,0.077335782,0.974619819509
LDG0459,0,1,0.115730102,0.877719022548
BMG0917,0,1,0.087692034,0.947543981331
PNH0761,0,1,0.038569185,1.08302682051
MLL0598,0,1,0.106927538,0.899120148702
BTL0226,1,-1,-0.16157829,1.97745038394
SBN0971,0,1,0.141329299,0.817963972434
BVC0790,0,1,0.10792475,0.896672557863
ICH0294,0,1,0.150473584,0.797455840723
DIB0285,1,1,0.123829056,0.858425074856
LCC0819,1,1,0.120292475,0.86680444101
MPM0220,1,1,-0.010632874,1.24005906488
JDB0169,0,1,0.022960341,1.13022574658
MDH0580,1,1,0.107161399,0.898545614408
WXH0872,0,1,0.105127547,0.903553330592
GCL0016,0,1,0.092397137,0.935480847444
DAL0673,0,1,0.152215101,0.79359732518
CEJ0109,1,1,0.094265864,0.930729815521
BAL0044,0,1,-0.001766016,1.20987691936
IUB0565,1,1,0.150783652,0.796767761893
AMR0318,0,1,0.123752109,0.858606643309
CAB0614,0,1,0.14028756,0.820327220083
EHD0584,1,-1,-0.050725761,1.38920162713
SNC0187,0,1,0.080547124,0.96614526178
IBB0359,0,1,0.00403085,1.19062610246
AJD0074,0,1,0.131776424,0.839847361744
QJR0688,0,1,0.116445955,0.875998585699
RDT0424,0,1,0.151598203,0.7949624259
RLG0856,0,1,0.117535419,0.873385902361
MOS0047,1,1,0.000962522,1.20076953361
RSM0277,0,1,0.147308144,0.804507561689
IIW0249,0,1,0.108016374,0.89644797303
HVF0067,0,1,0.144874663,0.809962692668
HWW0436,0,1,0.122647534,0.861216700239
MVB0515,0,1,0.089990118,0.941633878641
IJM0444,0,1,0.099319474,0.917993495754
CIM0271,0,1,0.132425034,0.838346299426
KCO0122,0,1,0.080626142,0.965937640194
NAF0326,0,1,0.107001546,0.898938295021
KLH0596,1,-1,-0.119322205,1.71103997217
RMW0542,1,1,0.139690052,0.821685227568
JHP0583,0,1,0.121373222,0.864236324956
QRM0739,0,1,0.046367749,1.06025420998
ESH0283,0,-1,-0.054837652,1.40583464299
WBC0192,0,1,0.134640117,0.833236907551
VSA0230,0,1,0.121300362,0.864409250752
BRS0734,0,-1,-0.040706866,1.34979606577
NKP0236,0,1,0.150760539,0.79681903614
IBB0696,0,1,0.146239693,0.806899043074
ABC0174,1,1,0.146108943,0.807192089974
XWD0923,0,1,0.003706235,1.19169437701
RHO0732,0,1,0.108163441,0.896087594107
JNJ0556,0,1,0.140320061,0.820253405142
AIB0948,0,1,0.110433696,0.890540883233
MCD0125,0,1,0.082748904,0.960376107936
EMW0772,0,1,0.137363834,0.8269898582
PDH0716,0,1,0.122928253,0.860552728979
MBJ0312,0,1,0.141515173,0.817542892598
AJH0175,0,1,0.149292247,0.800081718786
KBG0549,0,1,0.123842598,0.858393123806
MPT0376,0,1,0.132544343,0.838070430698
CQH0701,0,1,0.151955538,0.794171471245
HDS0367,0,-1,-0.049930614,1.38601685563
EGD0132,1,1,0.150220634,0.798017518597
VTT0385,0,1,0.146673058,0.805928365852
TSR0676,0,1,0.147383328,0.804339494814
KCS0173,0,1,0.144191255,0.811500054793
CCA0046,1,1,0.003813605,1.19134090707
PMV0850,0,1,0.110759052,0.889748484572
SGM0021,0,1,0.111644846,0.887594325661
VSS0154,1,1,0.107787019,0.897010253129
IKR0401,1,1,0.120570517,0.86614311565
FTM0406,1,-1,-0.216234176,2.47973018284
RAR0725,1,1,0.149834909,0.79887463242
MLM0950,0,1,0.099998855,0.916293594378
HPH0075,0,1,0.005937868,1.1843732434
VMJ0546,0,1,0.08906755,0.944002300054
OLW0689,0,1,0.108967948,0.894118492758
HRL0540,0,1,0.058964159,1.02453273113
BIS0247,0,1,0.147308144,0.804507561689
PNL0301,1,1,0.151052972,0.796170491831
ANM0123,0,1,0.087540463,0.947935014995
CAS0507,0,-1,-0.02987658,1.30887631332
JDC0030,0,1,0.118911101,0.870096551022
NWT0098,1,1,0.151239746,0.795756493139
PAD0773,0,1,0.05424649,1.03776230872
BQS0525,0,1,0.150220634,0.798017518597
BTR0403,0,1,0.122525011,0.861506636304
DLM0051,0,1,0.02692218,1.11803311806
AHM0410,0,1,0.143324334,0.813453645889
CHM0821,0,1,0.113508474,0.883077271379
JRG0207,1,-1,-0.176695858,2.09310127651
AVM0947,0,1,-0.01245903,1.24638992455
HSB0196,0,1,0.120978652,0.865173154424
BRM0995,0,1,0.109861689,0.891935520099
HRB0351,0,1,0.134938521,0.832550588916
PMC0328,0,1,0.089503231,0.942883118455
ILJ0526,0,1,0.130860761,0.841970301398
DFH0188,0,1,0.024132724,1.12660220509
SJO0209,0,1,0.141329299,0.817963972434
NGC0058,0,1,0.119528736,0.868623254825
EDB0714,1,1,0.145001157,0.809678396819
HFB0347,0,1,0.110810242,0.889623869398
TNM0961,1,1,0.140602308,0.819612606316
CQW0652,1,1,0.120149171,0.867145461715
HJS0072,0,1,0.121106203,0.864870213455
XHW0498,1,1,0.14536088,0.808870359179
DIB0081,0,1,0.076605206,0.976557839169
BSS0369,1,1,-0.01034571,1.23906717057
AAF0535,1,1,0.152083437,0.793888521053
HDH0928,0,1,0.080863921,0.965313130383
HXL0968,1,1,0.147197844,0.804754178262
MOH0273,0,1,0.05471862,1.03643042351
NMS0280,0,1,0.115700401,0.877790468086
BBS0422,0,1,0.120952894,0.865234342296
AOK0844,0,1,0.117548583,0.873354374994
ESJ0670,0,1,0.004920908,1.18770285404
KRL0501,1,1,0.150760539,0.79681903614
MKW0441,0,1,0.139777655,0.821486009337
BEH0615,0,1,0.150924693,0.796454931249
JMD0520,0,1,0.086457859,0.950732449241
GHH0288,0,1,0.114571377,0.88051011899
NOB0181,0,1,0.116965681,0.87475136033
CAA0612,0,1,0.116818183,0.875105164255
BRB0355,0,1,0.150473584,0.797455840723
RRC0553,0,1,0.053694587,1.03932148682
TDS0984,0,1,0.008198263,1.17701199206
LRR0148,0,1,0.144848029,0.810022563008
CLB0774,0,1,0.039509219,1.08025417771
JDF0593,0,1,0.11981355,0.867944594842
CGB0637,0,1,0.068336516,0.998758313012
BJM0111,0,1,0.02431616,1.12603643651
KWE0082,0,1,0.117338233,0.873858275644
JCR0172,0,1,0.141515173,0.817542892598
ATE0869,0,1,0.15042015,0.797574465147
IBS0836,0,1,0.116303605,0.876340465198
