users,states,mscores,iscores
RAR0725,1,0.0020301260412,0.00485274578891
MLM0950,0,0.00259407457736,0.00431512254904
HPH0075,0,0.00734306484402,0.00330040792945
VMJ0546,0,0.00454651008314,0.00419719740974
OLW0689,0,0.00375451492492,0.00441187966463
HRL0540,0,0.00786554222331,0.00387244692688
BIS0247,0,0.00200756739432,0.00482548745932
PNL0301,1,0.00179265620958,0.00486588605432
CAS0507,0,0.00293643733092,0.00291404749313
JDC0030,0,0.00227111621565,0.00451914478097
NWT0098,1,0.0043361751538,0.00486790094184
PAD0773,0,0.00179298975972,0.00382155348149
BTR0403,0,0.00393044311294,0.0045581310539
DLM0051,0,0.00900043580457,0.00352678327217
AHM0410,0,0.0047545206334,0.00478251076539
CHM0821,0,0.00201741585068,0.00446086212016
JRG0207,1,0.00141015116565,0.00133018501649
AVM0947,0,0.00620678486202,0.00310194518787
HSB0196,0,0.0104068822665,0.00454144918467
BRM0995,0,0.00708457543732,0.00442152119708
HRB0351,0,0.00460453716448,0.00469204597952
PMC0328,0,0.00289627618439,0.00420189746546
ILJ0526,0,0.0025501458377,0.00464805576828
DFH0188,0,0.00435701515882,0.00349669107481
SJO0209,0,0.00419125646959,0.0047609886525
NGC0058,0,0.00176234123497,0.00452580772683
EDB0714,1,0.00135265448871,0.00480060005902
HFB0347,0,0.00253871391942,0.00443175403247
TNM0961,1,0.00275096123954,0.00475314599191
CQW0652,1,0.00243233684983,0.00453250087864
XHW0498,1,0.00523140688797,0.0048044806922
DIB0081,0,0.00590544350188,0.00406275567088
BSS0369,1,0.00806707299816,0.00312474334009
AAF0535,1,0.00162838365594,0.00487700254304
HDH0928,0,0.00310172327576,0.00410869799521
HXL0968,1,0.00187541926365,0.00482429756087
MOH0273,0,0.0087621391123,0.00382664674309
NMS0280,0,0.00163022889185,0.00448450827191
BBS0422,0,0.00204979080972,0.00454117131156
AOK0844,0,0.00267658450036,0.00450444615854
ESJ0670,0,0.00459318866003,0.00328943713048
KRL0501,1,0.00533849603636,0.00486273133471
MKW0441,0,0.00289163708276,0.00474424976955
BEH0615,0,0.00498681580556,0.00486450220135
JMD0520,0,0.00313131639737,0.00416904448795
GHH0288,0,0.0028062489739,0.00447232854474
NOB0181,0,0.00322269588018,0.00449815790662
CAA0612,0,0.0053879334374,0.00449656672221
BRB0355,0,0.00450383706305,0.00485963571087
TDS0984,0,0.00337050155974,0.00332479270284
LRR0148,0,0.00529873998908,0.00479894813907
CLB0774,0,0.00812654494401,0.00366257020039
JDF0593,0,0.00367596133247,0.00452888025391
CGB0637,0,0.00373303833514,0.00397355438887
BJM0111,0,0.00803785406126,0.00349866995253
KWE0082,0,0.00413327014153,0.00450217693697
JCR0172,0,0.00559050537034,0.00476299383096
ATE0869,0,0.00506976666268,0.00485905927358
IBS0836,0,0.00278314116076,0.00449101553849
